epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,7514.27,0.91369,1.76189,1.35723,0.74414,0.42991,0.45759,0.31799,0.90944,1.51382,1.2823,0.007327,0.007327,0.007327
56,7651.01,0.90933,1.75351,1.35648,0.71187,0.43782,0.44978,0.32514,0.91274,1.50295,1.2865,0.0072775,0.0072775,0.0072775
57,7785.88,0.90113,1.73746,1.34955,0.7138,0.43699,0.45784,0.32993,0.90261,1.49597,1.27874,0.007228,0.007228,0.007228
58,7922.45,0.90154,1.73775,1.35345,0.7118,0.43877,0.4675,0.33377,0.90449,1.4866,1.27821,0.0071785,0.0071785,0.0071785
59,8058.38,0.89666,1.72794,1.34358,0.69174,0.45604,0.47594,0.33258,0.89737,1.4924,1.27408,0.007129,0.007129,0.007129
60,8194.7,0.8974,1.73242,1.34645,0.72536,0.39392,0.47744,0.33743,0.89667,1.48912,1.2727,0.0070795,0.0070795,0.0070795
61,8328.58,0.8929,1.7099,1.34248,0.70531,0.42915,0.48517,0.34385,0.89343,1.47649,1.26958,0.00703,0.00703,0.00703
62,8463.42,0.89066,1.71239,1.34832,0.69543,0.44118,0.48571,0.35077,0.89145,1.47596,1.2691,0.0069805,0.0069805,0.0069805
63,8599.99,0.89169,1.6937,1.34457,0.61825,0.48805,0.48592,0.34649,0.88975,1.46622,1.26453,0.006931,0.006931,0.006931
64,8735.99,0.88386,1.67991,1.33681,0.51693,0.53133,0.4881,0.35002,0.88513,1.46028,1.25895,0.0068815,0.0068815,0.0068815
65,8871.17,0.88167,1.67814,1.33585,0.62234,0.47016,0.49397,0.35474,0.87574,1.44792,1.25207,0.006832,0.006832,0.006832
66,9006.95,0.87647,1.67546,1.33429,0.61857,0.47818,0.49225,0.35642,0.87168,1.44212,1.25143,0.0067825,0.0067825,0.0067825
67,9142.93,0.87584,1.65716,1.33106,0.6549,0.49113,0.4967,0.36107,0.86717,1.43625,1.24748,0.006733,0.006733,0.006733
68,9278.84,0.87587,1.64154,1.32777,0.57423,0.54956,0.50254,0.3639,0.86701,1.43082,1.24741,0.0066835,0.0066835,0.0066835
69,9415.37,0.87272,1.65365,1.33383,0.57832,0.52665,0.50523,0.36452,0.86419,1.42055,1.24352,0.006634,0.006634,0.006634
70,9551.43,0.86573,1.63904,1.32533,0.60307,0.51755,0.50665,0.37173,0.85931,1.41667,1.24088,0.0065845,0.0065845,0.0065845
71,9688.7,0.8646,1.63034,1.32368,0.59108,0.5384,0.5009,0.36688,0.85785,1.41148,1.23924,0.006535,0.006535,0.006535
72,9826.12,0.86161,1.6153,1.31756,0.60401,0.53353,0.49772,0.36434,0.85341,1.40826,1.23327,0.0064855,0.0064855,0.0064855
73,9962.9,0.86099,1.62425,1.32093,0.59122,0.53915,0.49937,0.36389,0.85174,1.40403,1.2308,0.006436,0.006436,0.006436
74,10098.7,0.84943,1.6035,1.31195,0.59263,0.53218,0.50214,0.36496,0.84606,1.39429,1.22727,0.0063865,0.0063865,0.0063865
75,10234,0.8471,1.58944,1.31034,0.60659,0.51956,0.48834,0.34813,0.84158,1.38706,1.22519,0.006337,0.006337,0.006337
76,10369.5,0.85009,1.59486,1.31225,0.61034,0.51403,0.48506,0.35322,0.84009,1.38147,1.22461,0.0062875,0.0062875,0.0062875
