epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,14556.8,0.86326,1.61892,1.32313,0.70351,0.39652,0.46687,0.33442,0.84775,1.43737,1.22899,0.006436,0.006436,0.006436
74,14657.4,0.85005,1.59529,1.31295,0.69235,0.42294,0.47186,0.33766,0.84876,1.42992,1.22953,0.0063865,0.0063865,0.0063865
75,14760.1,0.84951,1.58827,1.31253,0.68712,0.4208,0.47372,0.34225,0.84948,1.42101,1.22983,0.006337,0.006337,0.006337
76,14862.1,0.85148,1.59471,1.31176,0.70158,0.4178,0.48135,0.35041,0.84465,1.41438,1.22722,0.0062875,0.0062875,0.0062875
77,14963.4,0.84353,1.57587,1.30862,0.70067,0.42035,0.48094,0.35267,0.84167,1.40953,1.22396,0.006238,0.006238,0.006238
78,15066.5,0.84696,1.57805,1.31106,0.70927,0.42086,0.48416,0.35253,0.83737,1.4039,1.22017,0.0061885,0.0061885,0.0061885
79,15168.3,0.84524,1.58744,1.30794,0.7161,0.41649,0.49397,0.35932,0.83534,1.3974,1.21887,0.006139,0.006139,0.006139
80,15269.4,0.8354,1.55998,1.30444,0.7073,0.41984,0.49549,0.36431,0.83465,1.38896,1.21906,0.0060895,0.0060895,0.0060895
81,15370.3,0.83397,1.55384,1.30172,0.70073,0.42531,0.49184,0.36105,0.83178,1.38646,1.21737,0.00604,0.00604,0.00604
82,15473.1,0.8396,1.56698,1.30141,0.69864,0.42724,0.49284,0.36256,0.83042,1.38285,1.21681,0.0059905,0.0059905,0.0059905
83,15574,0.82513,1.5365,1.292,0.69671,0.42753,0.49032,0.36042,0.8289,1.37856,1.21539,0.005941,0.005941,0.005941
84,15675.9,0.82991,1.53655,1.30081,0.69141,0.4313,0.49169,0.36202,0.828,1.37356,1.21472,0.0058915,0.0058915,0.0058915
85,15779.2,0.82655,1.537,1.29252,0.68553,0.45321,0.50423,0.37044,0.82774,1.3699,1.21472,0.005842,0.005842,0.005842
86,15881.1,0.82616,1.52522,1.29398,0.69186,0.44913,0.51069,0.37628,0.82652,1.36675,1.21409,0.0057925,0.0057925,0.0057925
87,15983.4,0.81962,1.50897,1.28429,0.69713,0.44718,0.50644,0.37451,0.82473,1.36327,1.21239,0.005743,0.005743,0.005743
88,16084.7,0.82749,1.51338,1.29643,0.69621,0.451,0.51642,0.37964,0.82304,1.35933,1.21165,0.0056935,0.0056935,0.0056935
89,16187.4,0.82321,1.50087,1.29152,0.69192,0.45135,0.5155,0.37967,0.82128,1.35809,1.20997,0.005644,0.005644,0.005644
90,16289.2,0.8177,1.50225,1.28598,0.6949,0.45086,0.51632,0.37627,0.81933,1.35398,1.20857,0.0055945,0.0055945,0.0055945
91,16390.2,0.81437,1.4943,1.28171,0.69143,0.45305,0.51384,0.37702,0.81787,1.35022,1.20683,0.005545,0.005545,0.005545
